,Location,Number,URL,Council District,Date Received,Last Changed Date,Expiration Date,Mover,Second,geojson,Votes
336,Witmer between Wilshire Blvd and Ingraham St,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.05380916623644, 'lng': -118.2666630834127}, {'lat': 34.05306275876007, 'lng': -118.26715117818873}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
337,Oak St between 14th St and Venice Blvd,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.04132457817941, 'lng': -118.27416131342625}, {'lat': 34.039913534219, 'lng': -118.27556763110039}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
338,739 S. Union Ave,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.05303173828166, 'lng': -118.27183072020534}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
339,Park View between Olympic Blvd and 10th St,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.05236663815947, 'lng': -118.28357703120645}, {'lat': 34.05332966762651, 'lng': -118.28294951506125}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
340,Ave 35 between Verdugo Rd and Eagle Rock Blvd,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.11460137091666, 'lng': -118.23498785376502}, {'lat': 34.11488632405828, 'lng': -118.23613396940989}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
341,Carlota Blvd between Ave 45 and Ave 44,21-4118-S26,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=21-4118-S26,1,2021-12-08,2022-02-17,2024-01-26,GILBERT A. CEDILLO,PAUL KREKORIAN,"[{'lat': 34.09536789472113, 'lng': -118.20576430929934}, {'lat': 34.094487621487886, 'lng': -118.20632469201554}]","[{""Member Name"": ""(VACANT) (VACANT)"", ""CD"": ""10"", ""Vote"": ""YES""}, {""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}]"
342,"Lincoln Theater, 2300 S. Central Avenue",22-4118-S1,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S1,9,2022-03-25,2022-10-24,2024-10-24,"CURREN D. PRICE, JR.",JOHN S. LEE,"[{'lat': 34.02076347518738, 'lng': -118.25381380429761}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""YES""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""ABSENT""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""YES""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
343,836 N. Avalon Blvd. - park,22-4118-S2,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S2,15,2022-04-26,2022-05-25,2024-05-24,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.78045093312198, 'lng': -118.26238288190983}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
344,South Pacific Avenue & West 19th Street,22-4118-S4,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S4,15,2022-05-11,2022-06-24,2024-06-22,JOE BUSCAINO,JOHN S. LEE,"[{'lat': 33.72697035789137, 'lng': -118.28797223587641}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""ABSENT""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""ABSENT""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""YES""}]"
345,"St. Augustine Catholic School, 3819 Clarington Ave",22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.0217849666351, 'lng': -118.3998746755932}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
346,"La Brea Tar Pits, 5843 Wilshire Blvd",22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.06259379825625, 'lng': -118.35574806660476}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
347,11001 W Pico Blvd,22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.03835965161045, 'lng': -118.43239885236538}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
348,Cotner Ave and Santa Monica Blvd,22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.047148096509815, 'lng': -118.44604920169441}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
349,Blackburn Ave and N La Cienega Blvd,22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.07245118807213, 'lng': -118.37646772544818}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
350,"Alleyway, 350 N Hayworth Ave",22-4118-S5,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=22-4118-S5,5,2022-05-17,2022-06-16,2024-06-14,PAUL KORETZ,JOE BUSCAINO,"[{'lat': 34.07717598385826, 'lng': -118.36255227527737}]","[{""Member Name"": ""BOB BLUMENFIELD"", ""CD"": ""3"", ""Vote"": ""YES""}, {""Member Name"": ""MIKE BONIN"", ""CD"": ""11"", ""Vote"": ""NO""}, {""Member Name"": ""JOE BUSCAINO"", ""CD"": ""15"", ""Vote"": ""YES""}, {""Member Name"": ""GILBERT A. CEDILLO"", ""CD"": ""1"", ""Vote"": ""YES""}, {""Member Name"": ""KEVIN DELEON"", ""CD"": ""14"", ""Vote"": ""YES""}, {""Member Name"": ""MARQUEECE HARRIS-DAWSON"", ""CD"": ""8"", ""Vote"": ""NO""}, {""Member Name"": ""PAUL KORETZ"", ""CD"": ""5"", ""Vote"": ""YES""}, {""Member Name"": ""PAUL KREKORIAN"", ""CD"": ""2"", ""Vote"": ""YES""}, {""Member Name"": ""JOHN LEE"", ""CD"": ""12"", ""Vote"": ""YES""}, {""Member Name"": ""NURY MARTINEZ"", ""CD"": ""6"", ""Vote"": ""YES""}, {""Member Name"": ""MITCH O'FARRELL"", ""CD"": ""13"", ""Vote"": ""YES""}, {""Member Name"": ""CURREN D. PRICE"", ""CD"": ""9"", ""Vote"": ""YES""}, {""Member Name"": ""NITHYA RAMAN"", ""CD"": ""4"", ""Vote"": ""NO""}, {""Member Name"": ""MONICA RODRIGUEZ"", ""CD"": ""7"", ""Vote"": ""YES""}, {""Member Name"": ""HERB WESSON"", ""CD"": ""10"", ""Vote"": ""ABSENT""}]"
